sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
019F2F9FB1EF179302C719165E521DC2EDDDD5EE1EB685A7B0A477DF19C096C9,28,0,27,0,1,291,742
0247309695731C6CEDAE159FF6A12AB445F4818D9D86A76E66D88D154FAF2D1D,1,0,1,0,0,1884,9040
03044D62861E1ECA5ECEFE7A59E4E75579160C0E0660140681BDB57D31B829A8,1,0,0,1,0,1429,4958
03259A1228E3AD616F10C2370B8C142A8D20132505FBC5CDB5137322A8A03FC6,1,0,0,0,1,824,2960
03B4B16CE34EDFC7EE557D7630DE3F951D08FBD57AE6BECA7D1A77E858B7EE1A,1,0,0,1,0,1457,6360
03BF6830F95C3580DAB4A7E9057AD19B32ED13910A5B70B203C0289849A06F93,1,1,0,0,0,504,1344
03D54E6218C13DC7190668A34C333D736575131FE6B6B8A5146E80CC0A27ADB4,1,0,0,0,1,1539,7434
03F29DAF62963C31E793DAB9F4D7898181DAE675F000F55FAD692B2642D9E4BD,1,0,1,0,0,712,2920
041F08DAFAFB69D299742DBB48B2D0653BCEE7F8E570982B9244D7788CEB10AD,4,0,0,0,4,566,1886
0551CA5AF36475784B0FDDBB664053FEC8AB1C92B9A98AAF86B6DC6F16210EFC,1,1,0,0,0,535,1691
057485738BD61372B9699B597CB30432ECF5ED306BE4BCB2BAEB8B3B9D0F1775,1,0,0,0,1,1231,5153
05AF0637308DDEBC0A0478D9F1A956522F20F62307F09AF6C3F6FDE0833E3D76,1,0,0,1,0,512,1930
05B910ADA78CDE7EC7AA5F273C91C2851AA2829D3BB28D9290A662A2001038FE,1,1,0,0,0,797,2351
06475F99CBD6B7BF6F1BB97FDE7B457B672017CE9B98AB7DBCDC2F51C276C62B,1,0,0,0,1,844,3178
0651B73BBBD38665A59AC1698DF369171DC189D7D371035E9DA38D9EEA961396,35,0,2,32,1,791,2427
06AC5459354A55BF3DC434222E2FF8CBF83757FE1967D2E496C3D5F3115C2B58,1,0,0,1,0,1649,6578
0714306D4F035D0B3FE710EE97F1818905FDFD2FCB8BD115E72FC4ACE4B69607,1,1,0,0,0,3256,17202
0757E027E03317AB3B8840F185DBE924D2EE8F603737F88FC3B78DB033F50E7C,1,0,0,0,1,931,3354
079B72AF2060FF65ED5BE0E3AFD22B6EBAFDE29D8A7ED853629E455BE841174B,1,0,1,0,0,1371,6212
08991DB2B665BF366E99929DB192ECF683FA2005433DC0F69677A9B36A51EA05,1,0,0,1,0,1371,6212
08A0D68A4742BC2FFA192782B3066EA7A546EA1A7B1EC4399B7EE722E17EBD86,1,0,0,1,0,2489,11658
09240551BD4607C87D6016DEB717BD3E908ACDCEF9D600DB112DDB24D6CDE427,1,0,0,0,1,1283,4389
092E6AADCD46C350B9BF7F13975DFCEEC76A89D66D2F15544DC4001E20335F2C,1,0,1,0,0,707,2580
0932F8D67F4FBA277AB60272E0D572C499897CC8D4020198E995E3C0CD620213,1,1,0,0,0,520,1733
097C360EEB19B205E2339CA6F1AEA7E945DDD3D5D326304664BE10201138315C,1,1,0,0,0,1205,3302
0ACA8EEDBE8F23A25A2832F89152C7D21AF1545BCF38B72EFD794F681F0E33CC,1,0,1,0,0,1972,8737
0AFF4A2737F1B8D83235D9C1343CDEC73F19F6BD11B239F9B79F08D9979EDBFD,1,0,1,0,0,1512,5536
0B21EFE6D7B34726A328FCD9CF03A41D86F650C7E433F2F8D48A6AD875773C90,1,0,0,1,0,845,2261
