sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
8D5236076DDBD06FD68DF420ED8734E5503B8F78F5F25A224BCFDF075B341937,1,0,0,1,0,714,2614
8DB012663C4EF909BDF5A03848071D1667BCA4BF8CB45CAABB10C170727B5FA0,1,0,0,1,0,629,2361
8DB23C95A9652F606602B3A8024386FA005DA0144D36B95ECB8FB6713282175E,516,175,128,131,82,748,2300
8DC0BB0EC7EA342FA2232D1749B4B60DD7E6148AAB95CA41032821F0D228746E,2,0,0,0,2,1529,6205
8E1E36EB69B7FBF6A17D1A59BA62B4EABEA5ED0FE74FEA4D941EF69D11FE5E80,1,0,0,1,0,1231,5153
8E30CE34A3AD58A7694916E1A09887BD854596AFA78F47C1CB815578CA0885E7,1,0,0,0,1,1637,7472
8E3E96A23E79C80DA9595D166386E916534900583486770FFB66C127B10EF402,1,0,0,0,1,405,1146
8E5B47EB33029F0F0F8A5CDF35A8841B47570D5031684D21429CB3F0AA42373B,1,1,0,0,0,495,1531
8E8E0A5DC06BEE8EC501357393CC78D1B46FE5D2152085BBE896BEB1E03FC0AC,1,0,0,0,1,784,2138
8E95B69DD5551E72CB1CD8570B4D369044E4710A31020C7AC8F3587C1D316B0C,1,0,1,0,0,990,2833
8EDCFCB4F305AEEBB4D73DD6C2D899B7164E87DB4A781B465C859D2523B0AB5F,1,1,0,0,0,1144,4408
8EE3FE1A29113A602AB4B2C78F7BFC1B1EF315064DC8641698D27056060F9A7A,1,1,0,0,0,720,2197
8F032A319D3DD717833CF00AD409B76AA0B51A3BEAF9D300A1DEC8E099F45B4D,89,3,1,2,83,2337,7549
8F2CBDED52DFD633AA1BB43B0D017415652838F9E096CE926129E73CD4922D10,1,1,0,0,0,1559,6080
8F945415DBFF45982A9F388E365BFB1CC643697D21F99D8AECCB00B9BAE42C3E,1,1,0,0,0,686,2490
8FB310E142AC110D212194FF87B3A7C1ECF5E60C76E5568A30E8D70D3D9E69FB,1,0,0,0,1,657,2480
8FC3B83A66DFAD502372C6DF35640C9E2BE1F68E67C450BD7FD919F65E7DE976,1,1,0,0,0,402,1136
8FF911123D7EBC95834CBF7B35405A802E15FE9B80F1CD962B7F94A6B18801D2,2750,827,748,768,407,1301,5025
9017A1131DBBDDE799B54AC189D24731C8DDBFA413D6C371E2A590AB8618D535,1,0,0,0,1,1757,7792
905B587A302E5AA922C3F9474B7324BFB240D555E7DB88C64FF7ECF8593E3408,1,1,0,0,0,1757,7792
906257670F73FE7484BC8E3FFB42AD274B0977A7D0CA1857AF687FA84DBEA041,1,0,0,0,1,841,2299
90751F7B02ACD12B4B60CD829C46F7E4C6646B19A70EE0CE4A126D9E0D455042,1,0,1,0,0,3620,13359
907BD7749F617FBB8717F8FE8FB0A05018DA66471311354ECE135AE457907BB7,1,0,0,1,0,2451,8345
90900F1E90CF3E434251284E47ACE60992DD3382B707ECA093CA1DDB4AD649F6,1,0,0,1,0,960,3362
90C2F29F4A016C0432A497FF18781A2457A0822293AD336D5CA3AC81F7BFB99C,1,0,0,0,1,792,2556
90EF5247A004B6AB3E0D35AAD688A0A3EB4397882546A7362667F7DD49DF2BCE,1,0,1,0,0,894,4354
910C8C0BC89751FCCA8B06BFA3FC3D9FD7C1CB748D3C9CE3FFE8DCD5A61EF047,1,1,0,0,0,1926,7116
911C14EBB1D2DC05D18BA2FAF22C18FDBE6BEAEF9E86786CA56575C9B133F6FE,1,0,0,1,0,1385,4543
912A59604F652E7314735D79BA4CAFF326E9E7E05DFB09AF73B146814DE962A3,1,0,0,0,1,1757,7792
91E3BA47287AB8324255A38732C84231800EE4BF69D11FE2C1E2FA1E58399B3C,1,0,0,0,1,1482,5333
91E4B1EA0380A4749428150F7CBC349EAA107E7247F704F6E170209FEB68E2E3,1,1,0,0,0,1405,4893
91F116037B18394983224F54F1320B07364698AE72279B7FC422414AFF95020B,1,1,0,0,0,1173,5598
922C47C6861CECA3D8CFEFE344DC2E1055BEDAF683C9FE395BBD8094BA7AB1D6,1,0,1,0,0,800,2600
92624EF10DB90B171C89AEEDAACEDD8922A420F3C3BD6F7E9067456F28894240,1,0,0,0,1,1362,5791
9276EDDAA77193D09130069547A5BA5A50B4EF097F95174080A83F8723B2F436,1,0,1,0,0,1073,4761
9291F31FFA7B637F7E32EB004DCE850566027868D12EFC0FFD1DC3320A3CF91E,1,1,0,0,0,1408,6491
929E600C9AC97FEE1A2A73A28BECA70CB32E31C4B11027165A7D53BEE2E86CF6,1,1,0,0,0,1625,5767
92A4AE51C8978114BA017814633D722FB6B81675D93F1EC49451B9DF02172DD8,2463,788,580,675,420,1603,6152
92C59129BA719A53D643A37D439D5127B50B6EEB3F224E1B3695329898958FA3,1,0,0,1,0,2639,8842
92D6202131851A450141C1087DF596FE67B10F599872344CE6B768BF3B55B74B,1,1,0,0,0,745,2580
92E1199AD7143970C3C34E767987D0EE9D770C901DBC8FE5C9FD11AFFFCD91E0,74,3,1,3,67,846,3833
92E3CD91A897FB345B152D0892846BF51417DE00A30AD46C0B3BCF834C9BC9A6,1,1,0,0,0,1474,5771
